checksum/43/TankStelle/No adress/102020/0
datum           litr	zeit	adress    	


2.Quartal				

18.06.2010	36,93	12:27	SH2 Erlangener Straße 4
27.06.2010	29,44	10:22	S
				
3.Quartal
				
02.07.2010	51,84   21:52   S2
06.07.2010	29,05	18:39	S
09.07.2010	47,44	08:36	AV Essenweinstraße 37
14.07.2010	22,77	23:32	S2
20.07.2010	31,08	10:09	S	
20.07.2010	37,62	16:24	AR Virnsberger Str 2-4
23.07.2010	44,12	06:58	AH Am Falbenholzweg 15A [Schwabach]
28.07.2010	34,03	18:16	J
31.07.2010	31,03	13:09	S
							
04.08.2010	36,65	10:15   S
05.08.2010	50,49	14:50	S2
15.08.2010	51,05	19:24	SH Bayreuther Str 37 [Igensdorf]
22.08.2010	20,70	15:24	S
22.08.2010	27,01	21:24	J
23.08.2010	50,90	14:49	S3 Schanzaeckerstr 7
23.08.2010	19,02	20:45	S	
31.08.2010	29,27	15:51	S
31.08.2010	35,36	22:21	O Sulzbacher Str 24-26
							
03.09.2010	40,33	08:34	S
05.09.2010	14,72	13:31	A3 Forther Hauptstr 2  [Eckental]
07.09.2010	51,67	12:26	S2
11.09.2010	40,53	17:17	S2
14.09.2010	41,33	08:40	S
15.09.2010	51,74	18:43	A2 Nürnbergerstr 126
21.09.2010	6,13	06:33	A1 Nürnbergerstr 131
21.09.2010	35,69	13:51	S
26.09.2010	27,30	21:11	J
28.09.2010	50,51	22:15	S2 Gibitzehnhofstr 172

4.Quartal				
				
01.10.2010	39,46	19:46   S
06.10.2010	42,95   14:38   S
08.10.2010	35,11   19:11   S
23.10.2010	50,91	10:23   S
29.10.2010	39,22   15:48   S
				
08.11.2010	44,7    20:04	S
22.11.2010	28,6    13:28   J
    
05.12.2010	38,7    18:35   A Münchener str 400
06.12.2010	7,4     11:20   S 
08.12.2010	35,0    20:46   S
12.12.2010	30,6    21:34   J Gebersdorferstr 22 
23.12.2010	54,7    19:32   S
27.12.2010	43,6	20:38   S Grolandstr 65  
